State,State name,"# Policies as 
of Aug 2019","URM 2018 Exams/
URM State Percentage",% URM of the state,% URM 2018 exams,number URM 2018 exams,total 2018 CS exams,% female 2018 exams,number female 2018 exams ,,,,,,,,,,,,,,,,,,,
AK,Alaska,2,43.73%,35.79%,15.65%,18,115,25.22%,29,,,,,,,,,,,,,,,,,,,
AL,Alabama,6,47.26%,40.18%,18.99%,383,2017,31.83%,642,,,,,,,,,,,,,,,,,,,
AR,Arkansas,9,65.02%,33.78%,21.97%,277,1261,30.93%,390,,,,,,,,,,,,,,,,,,,
AZ,Arizona,4,46.80%,54.77%,25.63%,284,1108,24.10%,267,,,,,,,,,,,,,,,,,,,
CA,California,5,43.78%,60.72%,26.58%,6542,24612,30.22%,7437,,,,,,,,,,,,,,,,,,,
CO,Colorado,4,48.56%,38.52%,18.71%,359,1919,24.28%,466,,,,,,,,,,,,,,,,,,,
CT,Connecticut,5,43.34%,35.14%,15.23%,361,2370,28.35%,672,,,,,,,,,,,,,,,,,,,
DC,District of Columbia,2,59.13%,87.82%,51.92%,189,364,34.07%,124,,,,,,,,,,,,,,,,,,,
DE,Delaware,3,34.52%,47.05%,16.24%,64,394,22.08%,87,,,,,,,,,,,,,,,,,,,
FL,Florida,6,77.57%,53.72%,41.67%,4424,10617,28.01%,2974,,,,,,,,,,,,,,,,,,,
GA,Georgia,8,40.00%,51.24%,20.50%,1015,4952,26.58%,1316,,,,,,,,,,,,,,,,,,,
HI,Hawaii,7,33.00%,44.43%,14.66%,67,457,28.88%,132,,,,,,,,,,,,,,,,,,,
IA,Iowa,6,63.32%,16.07%,10.17%,41,403,18.86%,76,,,,,,,,,,,,,,,,,,,
ID,Idaho,9,50.82%,19.82%,10.07%,28,278,21.22%,59,,,,,,,,,,,,,,,,,,,
IL,Illinois,3,42.51%,42.65%,18.13%,1126,6210,25.44%,1580,,,,,,,,,,,,,,,,,,,
IN,Indiana,9,49.82%,23.15%,11.53%,201,1743,22.03%,384,,,,,,,,,,,,,,,,,,,
KS,Kansas,1,32.95%,27.02%,8.90%,13,146,10.96%,16,,,,,,,,,,,,,,,,,,,
KY,Kentucky,4,45.22%,16.21%,7.33%,98,1337,28.05%,375,,,,,,,,,,,,,,,,,,,
LA,Louisiana,3,52.92%,50.41%,26.68%,143,536,28.17%,151,,,,,,,,,,,,,,,,,,,
MA,Massachusetts,6,53.67%,26.87%,14.42%,603,4181,26.76%,1119,,,,,,,,,,,,,,,,,,,
MD,Maryland,9,41.41%,49.19%,20.37%,1134,5567,32.93%,1833,,,,,,,,,,,,,,,,,,,
ME,Maine,0,57.64%,6.05%,3.49%,12,344,22.97%,79,,,,,,,,,,,,,,,,,,,
MI,Michigan,3,25.34%,25.85%,6.55%,192,2931,26.00%,762,,,,,,,,,,,,,,,,,,,
MN,Minnesota,1,42.75%,20.23%,8.65%,128,1480,20.54%,304,,,,,,,,,,,,,,,,,,,
MO,Missouri,4,40.46%,22.47%,9.09%,73,803,21.30%,171,,,,,,,,,,,,,,,,,,,
MS,Mississippi,5,39.72%,52.72%,20.94%,40,191,34.03%,65,,,,,,,,,,,,,,,,,,,
MT,Montana,3,14.87%,16.81%,2.50%,1,40,17.50%,7,,,,,,,,,,,,,,,,,,,
NC,North Carolina,5,34.04%,42.86%,14.59%,471,3229,27.31%,882,,,,,,,,,,,,,,,,,,,
ND,North Dakota,3,34.89%,16.62%,5.80%,4,69,8.70%,6,,,,,,,,,,,,,,,,,,,
NE,Nebraska,1,37.65%,25.78%,9.70%,23,237,13.92%,33,,,,,,,,,,,,,,,,,,,
NH,New Hampshire,6,41.56%,6.94%,2.88%,12,416,26.68%,111,,,,,,,,,,,,,,,,,,,
NJ,New Jersey,5,36.78%,41.08%,15.11%,1000,6617,28.05%,1856,,,,,,,,,,,,,,,,,,,
NM,New Mexico,3,65.23%,73.26%,47.78%,97,203,21.67%,44,,,,,,,,,,,,,,,,,,,
NV,Nevada,9,69.11%,53.62%,37.06%,325,877,33.30%,292,,,,,,,,,,,,,,,,,,,
NY,New York,3,58.70%,43.75%,25.68%,2664,10372,34.72%,3601,,,,,,,,,,,,,,,,,,,
OH,Ohio,6,52.59%,21.38%,11.24%,308,2739,22.67%,621,,,,,,,,,,,,,,,,,,,
OK,Oklahoma,4,47.87%,39.62%,18.97%,99,522,20.88%,109,,,,,,,,,,,,,,,,,,,
OR,Oregon,1,32.08%,27.00%,8.66%,66,762,24.15%,184,,,,,,,,,,,,,,,,,,,
PA,Pennsylvania,5,30.75%,25.06%,7.71%,309,4010,23.07%,925,,,,,,,,,,,,,,,,,,,
RI,Rhode Island,4,46.33%,32.71%,15.15%,80,528,27.84%,147,,,,,,,,,,,,,,,,,,,
SC,South Carolina,6,55.93%,42.77%,23.92%,250,1045,28.80%,301,,,,,,,,,,,,,,,,,,,
SD,South Dakota,1,82.86%,19.06%,15.79%,3,19,21.05%,4,,,,,,,,,,,,,,,,,,,
TN,Tennessee,2,68.35%,31.12%,21.27%,271,1274,30.53%,389,,,,,,,,,,,,,,,,,,,
TX,Texas,5,48.38%,64.58%,31.24%,3532,11306,26.92%,3044,,,,,,,,,,,,,,,,,,,
UT,Utah,7,91.81%,20.28%,18.62%,70,376,23.14%,87,,,,,,,,,,,,,,,,,,,
VA,Virginia,7,38.91%,36.98%,14.39%,720,5005,26.79%,1341,,,,,,,,,,,,,,,,,,,
VT,Vermont,3,77.95%,3.98%,3.10%,4,129,12.40%,16,,,,,,,,,,,,,,,,,,,
WA,Washington,8,36.57%,28.51%,10.43%,313,3002,27.22%,817,,,,,,,,,,,,,,,,,,,
WI,Wisconsin,4,33.08%,21.60%,7.14%,107,1498,19.63%,294,,,,,,,,,,,,,,,,,,,
WV,West Virginia,4,55.74%,6.33%,3.53%,9,255,30.59%,78,,,,,,,,,,,,,,,,,,,
WY,Wyoming,6,43.45%,18.17%,7.89%,3,38,26.32%,10,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
